"Position","Name","Type","Signal","Label"
"1","PE2","Input","GPIO_Input","OPT_DAIDENG12"
"2","PE3","Input","GPIO_Input","OPT_OBSTACLE"
"3","PE4","Input","GPIO_Input","OPT_APROACH"
"4","PE5","Input","GPIO_Input","OPT_EXT2"
"5","PE6","Input","GPIO_Input","OPT_DAIDENG1"
"6","VBAT","Power","",""
"7","PC13-ANTI_TAMP","I/O","",""
"8","PC14-OSC32_IN","I/O","RCC_OSC32_IN",""
"9","PC15-OSC32_OUT","I/O","RCC_OSC32_OUT",""
"10","PF0","I/O","I2C2_SDA",""
"11","PF1","I/O","I2C2_SCL",""
"12","PF2","I/O","",""
"13","PF3","Output","GPIO_Output","LED_TOP"
"14","PF4","I/O","",""
"15","PF5","I/O","",""
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PF6","I/O","",""
"19","PF7","I/O","",""
"20","PF8","I/O","",""
"21","PF9","I/O","",""
"22","PF10","I/O","",""
"23","PH0-OSC_IN","I/O","RCC_OSC_IN",""
"24","PH1-OSC_OUT","I/O","RCC_OSC_OUT",""
"25","NRST","Reset","",""
"26","PC0","I/O","",""
"27","PC1","I/O","",""
"28","PC2","I/O","",""
"29","PC3","I/O","",""
"30","VDD","Power","",""
"31","VSSA","Power","",""
"32","VREF+","Power","",""
"33","VDDA","Power","",""
"34","PA0-WKUP","I/O","UART4_TX",""
"35","PA1","I/O","UART4_RX",""
"36","PA2","Output","GPIO_Output","LED_STRIP1_B"
"37","PA3","Output","GPIO_Output","LED_STRIP1_A"
"38","VSS","Power","",""
"39","VDD","Power","",""
"40","PA4","I/O","",""
"41","PA5","I/O","",""
"42","PA6","Output","GPIO_Output","CONTACTOR1"
"43","PA7","Input","GPIO_Input","CONTACTOR1_IN"
"44","PC4","Output","GPIO_Output","COCOACTOR2"
"45","PC5","Input","GPIO_Input","CONTACTOR2_IN"
"46","PB0","Output","GPIO_Output","LED_STRIP2_B"
"47","PB1","Output","GPIO_Output","LED_STRIP2_A"
"48","PB2","Output","GPIO_Output","LED_BUTTON"
"49","PF11","Output","GPIO_Output","IMU_POWER"
"50","PF12","I/O","",""
"51","VSS","Power","",""
"52","VDD","Power","",""
"53","PF13","Output","GPIO_Output","FAN_PWM"
"54","PF14","Output","GPIO_Output","FAN_EN"
"55","PF15","I/O","",""
"56","PG0","I/O","",""
"57","PG1","I/O","",""
"58","PE7","I/O","",""
"59","PE8","I/O","",""
"60","PE9","I/O","",""
"61","VSS","Power","",""
"62","VDD","Power","",""
"63","PE10","I/O","",""
"64","PE11","I/O","",""
"65","PE12","I/O","",""
"66","PE13","I/O","",""
"67","PE14","I/O","",""
"68","PE15","I/O","",""
"69","PB10","I/O","USART3_TX","USART3_TX"
"70","PB11","I/O","USART3_RX","USART3_RX"
"71","VCAP_1","Power","",""
"72","VDD","Power","",""
"73","PB12","I/O","CAN2_RX",""
"74","PB13","I/O","CAN2_TX",""
"75","PB14","I/O","",""
"76","PB15","I/O","",""
"77","PD8","I/O","",""
"78","PD9","I/O","",""
"79","PD10","I/O","",""
"80","PD11","I/O","",""
"81","PD12","I/O","",""
"82","PD13","I/O","",""
"83","VSS","Power","",""
"84","VDD","Power","",""
"85","PD14","I/O","",""
"86","PD15","I/O","",""
"87","PG2","Output","GPIO_Output","LED1_USER"
"88","PG3","Output","GPIO_Output","LED2_USER"
"89","PG4","Output","GPIO_Output","LED3_USER"
"90","PG5","I/O","",""
"91","PG6","I/O","",""
"92","PG7","I/O","",""
"93","PG8","I/O","",""
"94","VSS","Power","",""
"95","VDD","Power","",""
"96","PC6","I/O","USART6_TX",""
"97","PC7","I/O","USART6_RX",""
"98","PC8","I/O","",""
"99","PC9","I/O","",""
"100","PA8","I/O","",""
"101","PA9","I/O","USART1_TX",""
"102","PA10","I/O","USART1_RX",""
"103","PA11","I/O","",""
"104","PA12","I/O","",""
"105","PA13","I/O","SYS_JTMS-SWDIO",""
"106","VCAP_2","Power","",""
"107","VSS","Power","",""
"108","VDD","Power","",""
"109","PA14","I/O","SYS_JTCK-SWCLK",""
"110","PA15","I/O","",""
"111","PC10","I/O","",""
"112","PC11","I/O","",""
"113","PC12","I/O","UART5_TX",""
"114","PD0","I/O","",""
"115","PD1","I/O","",""
"116","PD2","I/O","UART5_RX",""
"117","PD3","I/O","",""
"118","PD4","I/O","",""
"119","PD5","I/O","USART2_TX",""
"120","VSS","Power","",""
"121","VDD","Power","",""
"122","PD6","I/O","USART2_RX",""
"123","PD7","I/O","",""
"124","PG9","I/O","",""
"125","PG10","I/O","",""
"126","PG11","I/O","",""
"127","PG12","I/O","",""
"128","PG13","I/O","",""
"129","PG14","I/O","",""
"130","VSS","Power","",""
"131","VDD","Power","",""
"132","PG15","Input","GPIO_Input","OPT_P7"
"133","PB3","I/O","SPI1_SCK",""
"134","PB4","I/O","SPI1_MISO",""
"135","PB5","I/O","SPI1_MOSI",""
"136","PB6","Output","GPIO_Output","W25Q128_CS"
"137","PB7","Output","GPIO_Output","FM25L_CS"
"138","BOOT0","Boot","",""
"139","PB8","I/O","CAN1_RX",""
"140","PB9","I/O","CAN1_TX",""
"141","PE0","Input","GPIO_Input","OPT_P8"
"142","PE1","Input","GPIO_Input","OPT_EXT2"
"143","PDR_ON","Reset","",""
"144","VDD","Power","",""
